,0
monnaie,51
local,36
projet,25
mlc,22
économie,17
social,16
citoyen,15
territoire,14
réseau,13
euro,13
service,11
monétaire,11
ucl,10
objectif,9
système,9
pourcent,9
développement,9
acteur,8
permettre,8
solidaire,8
banque,8
outil,8
compte,8
créer,7
bien,7
prestataire,7
circulation,7
public,7
co,7
faire,7
association,7
collectivité,7
exemple,7
rôle,6
société,6
sol,6
entreprise,6
bristol,6
échange,6
ensemble,6
complémentaire,5
grand,5
moyen,5
propre,5
partenaire,5
décider,5
décision,5
être,5
souhaiter,5
accepter,5
cas,4
flécher,4
circuler,4
construire,4
venir,4
financer,4
utiliser,4
crise,4
donner,4
monde,4
france,4
coopération,4
quartier,4
économique,4
chiemgauer,4
groupe,4
confiance,4
action,4
violette,4
mettre,4
ensembl,4
chiffre,4
choisir,3
dépenser,3
offrir,3
contre,3
déposer,3
dysfonctionnement,3
change,3
centre,3
ville,3
simple,3
civil,3
marché,3
lacs,3
lancer,3
lien,3
compléter,3
100,3
manière,3
microcrédit,3
constituer,3
hui,3
démarche,3
collectif,3
consommation,3
vision,3
clé,3
voir,3
partie,3
toulouse,3
engager,3
intelligence,3
tour,3
favoriser,3
garantir,3
proposition,3
aujourd,3
puissance,3
bernard,3
expliquer,3
affaire,3
dernier,3
soutien,3
soutenir,3
solidarité,3
flux,3
jouer,3
personne,3
porter,3
trouver,3
penser,3
pays,3
diversité,3
unité,3
boucle,3
cadre,3
porteur,3
bon,3
pouvoir,3
essonne,2
instable,2
environnemental,2
gouvernance,2
euros,2
garantie,2
inciter,2
exister,2
fournisseur,2
idée,2
faciliter,2
enjeu,2
ici,2
fuite,2
falloir,2
encaisser,2
dépendre,2
honduras,2
financier,2
général,2
habitant,2
entrepreneur,2
000,2
lietaer,2
lieu,2
reconvertir,2
redynamiser,2
remettre,2
reprendre,2
ressource,2
réapproprier,2
réel,2
région,2
réussite,2
second,2
sens,2
sociocratie,2
succès,2
taxe,2
temps,2
territorial,2
titre,2
type,2
valeur,2
variable,2
vecteur,2
volume,2
vouloir,2
yoro,2
échanger,2
question,2
proximité,2
promoteur,2
paiement,2
magasin,2
matière,2
mode,2
modèle,2
monoculture,2
mouvement,2
municipal,2
non,2
nouveau,2
objection,2
octroyer,2
palmas,2
programme,2
parler,2
party,2
payer,2
piloter,2
place,2
plupart,2
pratique,2
premier,2
prenant,2
processus,2
production,2
parole,2
œuvre,2
dynamique,2
dispositif,2
circuit,2
autant,2
auprès,2
augmenter,2
cœur,2
30,2
crédit,2
critère,2
cohésion,2
cours,2
coupon,2
collaboration,2
commerce,2
argent,2
commerçant,2
commun,2
adopter,2
agglomération,2
agir,2
année,2
aide,2
comprendre,2
allemagne,2
2010,2
aller,2
dizaine,2
changer,2
besoin,2
caractéristique,2
principe,1
retirant,1
apprendre,1
réaliser,1
roue,1
rome,1
roman,1
porte,1
robert,1
richesse,1
retenir,1
réflexion,1
architecture,1
responsable,1
respectueux,1
respectif,1
représenter,1
représentatif,1
représentant,1
ardèche,1
renforcer,1
rencontre,1
remplir,1
remplacer,1
apporter,1
réinventer,1
appartenir,1
saisir,1
sen,1
sel,1
planète,1
an,1
savoir,1
satisfait,1
salvador,1
salarier,1
pleinement,1
boulanger,1
salaire,1
anime,1
bonification,1
rééquilibrer,1
réviser,1
réussitel,1
anne,1
réunir,1
poissonnier,1
pond,1
réponse,1
répondre,1
population,1
réparateur,1
boucher,1
regrouper,1
porteuse,1
publiquesi,1
attrayant,1
prêt,1
préparation,1
aucun,1
province,1
bibliothèque,1
proposer,1
promouvoir,1
basque,1
prendre,1
autoriser,1
progrès,1
autour,1
produire,1
autriche,1
procéder,1
banco,1
procurer,1
prochainement,1
bancaire,1
principal,1
problématique,1
problème,1
bienveillance,1
puisqu,1
relocaliser,1
attirer,1
prise,1
positivemer,1
regio,1
redéfinir,1
article,1
recréer,1
artisan,1
reconstruire,1
pound,1
recevoir,1
reals,1
pounds,1
bio,1
américain,1
rappellent,1
raison,1
ragot,1
quilali,1
assurer,1
atteindre,1
qualité,1
pêche,1
pousser,1
rapport,1
situer,1
sensibiliser,1
vélo,1
volontariat,1
voisin,1
voire,1
2012,1
viveret,1
vitesse,1
vite,1
208,1
viser,1
vise,1
217,1
villeneuve,1
230,1
vilaine,1
vie,1
verser,1
verde,1
550,1
vaucluse,1
varier,1
602,1
72,1
75,1
utilisent,1
urgent,1
800,1
une,1
2003,1
wall,1
udis,1
2002,1
10,1
évoluer,1
éviter,1
étudier,1
éthique,1
établir,1
équivalent,1
équipe,1
équilibrer,1
épicerie,1
émission,1
émetteur,1
émerger,1
émergence,1
émaner,1
émancipateur,1
élu,1
éducation,1
écrire,1
écosystème,1
145,1
1901,1
écologique,1
écho,1
échelle,1
1997,1
20,1
ulanowicz,1
93,1
servir,1
suchitoto,1
street,1
stratégie,1
stock,1
stabilité,1
spéculatif,1
spécifiquement,1
spécialiste,1
souverain,1
affecter,1
soulever,1
souhaiton,1
souffrir,1
somme,1
solution,1
agro,1
agréer,1
agrément,1
soixantaine,1
soin,1
socle,1
ailleurs,1
sociale,1
aisémer,1
brest,1
situation,1
simultané,1
signifier,1
successivement,1
suffisamment,1
tête,1
supporter,1
abeille,1
trésorier,1
accompagner,1
trillion,1
travailler,1
travail,1
transport,1
transformation,1
transaction,1
traiteur,1
traditionnel,1
tourner,1
accueillir,1
achat,1
acheter,1
texte,1
acte,1
territoiresi,1
activiter,1
terme,1
activité,1
actuel,1
talent,1
sûr,1
adhérer,1
sur,1
supérieur,1
placer,1
bénéficiaire,1
piscine,1
consommateur,1
historique,1
hasard,1
construir,1
générer,1
construisent,1
grâce,1
contribuer,1
convaincr,1
conventionnel,1
gota,1
global,1
convertir,1
coopevale,1
galleco,1
coopératif,1
coordinateur,1
cordonnier,1
forex,1
forcément,1
force,1
fonds,1
fondamentau,1
fonctionner,1
fonction,1
fois,1
foi,1
flagrant,1
homme,1
consentement,1
court,1
humain,1
concurrence,1
institution,1
instinctif,1
instant,1
instance,1
installer,1
condition,1
inscrire,1
initier,1
initiative,1
inefficace,1
individus2,1
indispensable,1
inclusif,1
conjointemer,1
impôt,1
improductif,1
imprimeur,1
important,1
impliquer,1
imaginer,1
image,1
ille,1
conjunto,1
identifier,1
connu,1
héol,1
course,1
finance,1
brésil,1
disponible,1
disposition,1
disséquant,1
encourager,1
enclencher,1
diversifier,1
encaisse,1
emploien,1
emploi,1
emmener,1
efforcer,1
economie,1
développent,1
déterminer,1
dépôt,1
dollar,1
déplacer,1
dominant,1
dormir,1
département,1
démocratique,1
doute,1
définition,1
défi,1
décrypte,1
déclarer,1
durabilité,1
durable,1
enrayer,1
entendre,1
fidélité,1
entier,1
fiduciaire,1
fermer,1
façon,1
crash,1
faveur,1
faible,1
facteur,1
créée,1
facilitateur,1
cécile,1
demain,1
exclusion,1
eusko,1
euroschaque,1
demande,1
dessiner,1
etc,1
etat,1
et,1
estime,1
dette,1
essentiel,1
espace,1
devise,1
entrer,1
dicter,1
dire,1
inter,1
interconnectivité,1
international,1
opérateur,1
choix,1
offre,1
oeil,1
chômeur,1
citer,1
négociation,1
clarifier,1
nous,1
cler,1
nombre,1
nicaragua,1
neutre,1
netz,1
naturel,1
national,1
méthodologie,1
méthode,1
mécanisme,1
club,1
multiplier,1
multiplient,1
moyenner,1
moyenne,1
coffre,1
moral,1
coiffeur,1
montreuil,1
option,1
opérationnel,1
interroger,1
organisation,1
pilotage,1
petit,1
bureau,1
bâle,1
bénéfice,1
pece,1
débouché,1
payeur,1
capable,1
patrick,1
patriarche,1
passant,1
capital,1
partout,1
particulier,1
carburant,1
parmi,1
charité,1
parier,1
parfaitement,1
palmeiras,1
charte,1
chercher,1
chercheur,1
organisme,1
organiser,1
organisationnel,1
montrer,1
monnaiessociale,1
collaborer,1
mondialla,1
loi,1
localel,1
localeavec,1
complet,1
livraison,1
ligne,1
complexe,1
lietaer1,1
composante,1
composer,1
latin,1
050,1
lancée,1
laisser,1
compréhension,1
labelliser,1
la,1
justification,1
jour,1
compétitive,1
invite,1
intérêt,1
intérieur,1
intéresser,1
intégrer,1
intégralement,1
interview,1
lot,1
luciole,1
lyon,1
communauté,1
collectivele,1
moment,1
comité,1
commercial,1
mise,1
million,1
mesure,1
mener,1
membre,1
meilleur,1
communal,1
marier,1
marche,1
lâcher,1
marchand,1
manquerait,1
manquer,1
manque,1
commune,1
malus,1
majorité,1
maison,1
maire,1
mai,1
communication,1
léger,1
largement,1
